GNF_REG_ID	CPD_SID	ASSAY_ID	ASSAY_NAME	Cell line name	EXP_ID	FUZZY	IC50	STDV	R2	NOTE	TOP	BOTTOM	SLOPE	20	5	1.25	0.3125	0.07813	0.019531	0.004883	0.0012207
GNF-00-0325-0295-7	SID7205981	6530	CMK-86-ECHO	CMK-86	71840	>	20.0		0.708		1.096	0.0	-3.33	0.623	1.22	1.034	1.03	1.17	1.194	1.119	0.9
GNF-00-0325-0295-7	SID7205981	6530	CMK-86-ECHO	CMK-86	71840	>	20.0		0.741		1.106	0.0	-3.33	0.662	1.215	1.096	1.231	1.003	1.105	1.117	0.967
GNF-00-0325-0295-7	SID7205981	6530	CMK-86-ECHO	CMK-86	71840	>	20.0		0.802		1.096	0.001	-2.322	0.72	1.079	1.051	1.08	1.234	1.006	1.105	0.856
GNF-00-0325-0295-7	SID7205981	6229	COLO-818-ECHO	COLO-818	69868	>	20.0				1.008	0.3		0.965	1.248	1.077	0.973	1.034	1.013	1.006	1.008
GNF-00-0325-0295-7	SID7205981	6229	COLO-818-ECHO	COLO-818	69868	>	20.0				0.97	0.3		1.057	0.988	1.147	1.06	1.121	1.026	1.103	0.97
GNF-00-0325-0295-7	SID7205981	6229	COLO-818-ECHO	COLO-818	69868	>	20.0				0.99	0.3		0.83	1.19	1.152	1.127	0.931	1.005	1.081	0.99
GNF-00-0325-0295-7	SID7205981	6515	COR-L105-ECHO	COR-L105	72419	>	20.0				0.825	0.0		0.414	1.102	1.617	1.238	1.105	0.996	0.817	0.825
GNF-00-0325-0295-7	SID7205981	6515	COR-L105-ECHO	COR-L105	72419	>	20.0		0.867		1.103	0.0	-1.339	0.57	0.954	1.101	1.106	1.001	1.248	1.348	1.038
GNF-00-0325-0295-7	SID7205981	6515	COR-L105-ECHO	COR-L105	72419	>	20.0		0.82		1.088	0.0	-2.104	0.583	1.024	1.207	1.131	1.184	1.04	0.977	1.001
GNF-00-0325-0295-7	SID7205981	6273	COR-L23-ECHO	COR-L23	69889	>	20.0				1.144	0.3		0.879	1.016	1.022	0.848	1.051	1.211	1.271	1.144
GNF-00-0325-0295-7	SID7205981	6273	COR-L23-ECHO	COR-L23	69889	>	20.0				0.818	0.3		0.801	1.154	1.07	1.225	1.211	0.932	0.898	0.818
GNF-00-0325-0295-7	SID7205981	6273	COR-L23-ECHO	COR-L23	69889	>	20.0		0.694		1.002	0.3	-0.91	0.636	0.724	1.057	1.354	0.866	1.028	1.108	0.935
GNF-00-0325-0295-7	SID7205981	6531	DB-ECHO	DB	71841	>	20.0				0.954	0.3		0.869	1.132	1.073	0.897	0.998	1.052	1.108	0.954
GNF-00-0325-0295-7	SID7205981	6531	DB-ECHO	DB	71841	>	20.0				0.954	0.3		0.83	0.995	1.155	0.935	1.004	1.108	1.097	0.954
GNF-00-0325-0295-7	SID7205981	6531	DB-ECHO	DB	71841	>	20.0		0.828		1.074	0.001	-3.33	0.742	1.11	1.065	1.162	1.059	1.089	1.051	0.977
GNF-00-0325-0295-7	SID7205981	6357	DBTRG-05MG-ECHO	DBTRG-05MG	69914	>	20.0				1.2	0.3		0.895	1.084	1.025	1.049	0.989	0.804	1.081	1.27
GNF-00-0325-0295-7	SID7205981	6357	DBTRG-05MG-ECHO	DBTRG-05MG	69914	>	20.0				1.112	0.3		0.987	1.06	0.987	0.935	1.074	1.175	1.025	1.112
GNF-00-0325-0295-7	SID7205981	6357	DBTRG-05MG-ECHO	DBTRG-05MG	69914	>	20.0				1.171	0.3		0.85	1.129	1.056	0.93	0.902	0.92	0.962	1.171
GNF-00-0325-0295-7	SID7205981	6693	DMS 79-ECHO-CTG	DMS 79-CTG	73870	>	20.0				1.001	0.3		1.07	1.062	1.052	1.091	0.886	1.039	1.153	1.001
GNF-00-0325-0295-7	SID7205981	6693	DMS 79-ECHO-CTG	DMS 79-CTG	73870	>	20.0				1.09	0.3		1.212	1.148	1.363	1.293	1.279	1.382	1.227	1.09
GNF-00-0325-0295-7	SID7205981	6693	DMS 79-ECHO-CTG	DMS 79-CTG	73870	>	20.0		0.681		1.122	0.067	-3.33	0.961	1.175	1.163	1.093	1.122	1.102	1.141	1.057
GNF-00-0325-0295-7	SID7205981	6516	DOV13-ECHO	DOV13	72420	=	9.087	4.048	0.855		1.09	0.0	-3.33	0.02906	0.988	0.884	1.319	0.859	1.141	1.178	1.136
GNF-00-0325-0295-7	SID7205981	6516	DOV13-ECHO	DOV13	72420	=	7.751	14.15	0.919		1.072	0.0	-3.197	0.0494	0.86	1.543	1.1	0.934	0.971	1.282	0.627
GNF-00-0325-0295-7	SID7205981	6516	DOV13-ECHO	DOV13	72420	=	15.152	3.659	0.949		1.168	0.0	-3.33	0.319	1.249	0.596	1.055	1.217	1.192	1.105	0.756
GNF-00-0325-0295-7	SID7205981	6369	DU145-ECHO	DU145	69905	>	20.0		0.846		1.084	0.0	-3.33	0.857	1.123	1.127	1.081	1.093	1.034	1.042	0.905
GNF-00-0325-0295-7	SID7205981	6369	DU145-ECHO	DU145	69905	>	20.0				0.8	0.3		0.949	0.982	1.164	1.02	1.174	1.047	1.064	0.718
GNF-00-0325-0295-7	SID7205981	6369	DU145-ECHO	DU145	69905	>	20.0				0.8	0.3		1.073	1.03	0.947	1.057	0.971	1.104	0.959	0.693
GNF-00-0325-0295-7	SID7205981	6230	EFE-184-ECHO	EFE-184	69869	>	20.0		0.978		1.029	0.0	-1.206	0.536	0.887	0.99	0.99	1.021	1.067	1	1.062
GNF-00-0325-0295-7	SID7205981	6230	EFE-184-ECHO	EFE-184	69869	>	20.0		0.682		1.021	0.0	-1.79	0.661	0.947	1.169	1.079	0.926	0.942	1.085	0.947
GNF-00-0325-0295-7	SID7205981	6230	EFE-184-ECHO	EFE-184	69869	=	19.801	1.841	0.953	Steep Curve	1.053	0.0	-3.33	0.516	1.089	0.982	1.089	1.002	1.074	1.074	0.1534
GNF-00-0325-0295-7	SID7205981	6231	EFM-19-ECHO	EFM-19	69870	>	20.0				0.884	0.3		0.813	0.936	1.01	1.092	0.931	1.026	0.879	0.884
GNF-00-0325-0295-7	SID7205981	6231	EFM-19-ECHO	EFM-19	69870	>	20.0		0.547		1.02	0.0	-3.33	0.824	1.125	1.034	1.025	0.959	1.073	0.992	0.929
GNF-00-0325-0295-7	SID7205981	6231	EFM-19-ECHO	EFM-19	69870	>	20.0				0.92	0.3		0.807	0.97	1.036	1.028	1.125	1.115	1.082	0.92
GNF-00-0325-0295-7	SID7205981	6299	EFO-27-ECHO	EFO-27	69891	=	8.126	3.845	0.904	Steep Curve	1.166	0.3	-2.694	0.378	0.975	1.251	1.16	1.258	1.19	0.972	0.815
GNF-00-0325-0295-7	SID7205981	6299	EFO-27-ECHO	EFO-27	69891	=	18.555	3.949	0.948	Missing Bottom	1.041	0.0	-1.315	0.496	0.881	1.014	1.053	1.071	0.957	1.11	1.011
GNF-00-0325-0295-7	SID7205981	6299	EFO-27-ECHO	EFO-27	69891	>	20.0		0.521		1.047	0.0	-0.902	0.655	0.706	1.219	0.938	1.24	0.956	0.977	0.985
GNF-00-0325-0295-7	SID7205981	6281	EN-ECHO	EN	69856	>	20.0				0.81	0.3		0.962		1.073	1.033	1.036	1.075	1.041	0.81
GNF-00-0325-0295-7	SID7205981	6281	EN-ECHO	EN	69856	>	20.0				0.996	0.3		0.923	0.995	0.978	1.09	0.992	1.051	0.812	0.996
GNF-00-0325-0295-7	SID7205981	6281	EN-ECHO	EN	69856	>	20.0				0.827	0.3		0.966	1.021	1.073	1.032	1.133	0.996	0.991	0.827
GNF-00-0325-0295-7	SID7205981	6517	ESS-1-ECHO	ESS-1	72421	=	11.86	3.295	0.934	Curve Extrapolation (Bottom)	1.055	0.0	-2.348	0.2387	0.934	1.03	1.1	1.094	1.003	1.178	0.918
GNF-00-0325-0295-7	SID7205981	6517	ESS-1-ECHO	ESS-1	72421	=	13.585	3.27	0.935	Curve Extrapolation (Bottom)	0.925	0.0	-3.33	0.1777	1.006		0.87	0.916	0.867	0.855	1.015
GNF-00-0325-0295-7	SID7205981	6517	ESS-1-ECHO	ESS-1	72421	=								0.733	0.915	0.897	1.231	1.14	0.967	0.967	1.149
GNF-00-0325-0295-7	SID7205981	6402	EVSA-T-ECHO	EVSA-T	70215	>	20.0				0.867	0.3		0.931	1.054	1.064	1.007	1.074	1.134	0.921	0.867
GNF-00-0325-0295-7	SID7205981	6402	EVSA-T-ECHO	EVSA-T	70215	>	20.0				0.98	0.3		0.939	1.115	0.992	1.065	1.096	1.087	0.848	0.98
GNF-00-0325-0295-7	SID7205981	6402	EVSA-T-ECHO	EVSA-T	70215	>	20.0				0.82	0.3		0.844	0.926	0.952	1.099	0.983	0.952	0.785	0.82
GNF-00-0325-0295-7	SID7205981	6370	FaDu-ECHO	FaDu	69906	>	20.0				0.89	0.3		0.889	1.126	1.193	1.025	1.096	1.13	1.028	0.89
GNF-00-0325-0295-7	SID7205981	6370	FaDu-ECHO	FaDu	69906	>	20.0				1.2	0.3		0.985	0.95	1.046	0.927	1.078	1.009	0.977	1.246
GNF-00-0325-0295-7	SID7205981	6370	FaDu-ECHO	FaDu	69906	>	20.0				0.91	0.3		1.038	1.116	1.132	1.067	0.949	1.033	1.076	0.91
GNF-00-0325-0295-7	SID7205981	6388	G-401-ECHO	G-401	71077	>	20.0				0.8	0.3		0.545	1.096	1.042	1.007	1.119	1.052	0.79	0.685
GNF-00-0325-0295-7	SID7205981	6388	G-401-ECHO	G-401	71077	=	12.304	11.769	0.934		1.2	0.0	-0.682	0.47	0.871	0.874	1.132	1.214	1.215	0.911	0.791
GNF-00-0325-0295-7	SID7205981	6388	G-401-ECHO	G-401	71077	=	19.46	4.216	0.795	Low Confidence	1.071	0.0	-3.33	0.511	1.065	1.059	1.037	1.193	0.971	1.229	0.933
GNF-00-0325-0295-7	SID7205981	6282	G-402-ECHO	G-402	69857	>	20.0		0.929		1.159	0.3	-0.756	0.664	0.857	1.032	1.077	1.251	0.908	1.111	1.131
GNF-00-0325-0295-7	SID7205981	6282	G-402-ECHO	G-402	69857	>	20.0		0.73		1.067	0.3	-0.995	0.71	0.853	1.066	1.141	1.12	1.124	1.01	0.921
GNF-00-0325-0295-7	SID7205981	6282	G-402-ECHO	G-402	69857	>	20.0				1.086	0.3		0.724	0.936	0.986	1.03	1.153	1.153	1.147	1.086
GNF-00-0325-0295-7	SID7205981	6534	GOS-3-ECHO	GOS-3	72397	>	20.0		0.983		1.12	0.0	-3.33	0.56	1.126	1.082	1.146	1.156	1.111	1.089	0.869
GNF-00-0325-0295-7	SID7205981	6534	GOS-3-ECHO	GOS-3	72397	>	20.0		0.953		1.0	0.0	-3.33	0.541	1.007	1.146	0.933	1.019	1.009	1.053	0.972
GNF-00-0325-0295-7	SID7205981	6534	GOS-3-ECHO	GOS-3	72397	>	20.0		0.892		1.027	0.0	-1.617	0.726	0.993	0.982	1.03	0.992	1.08	1.074	0.99
GNF-00-0325-0295-7	SID7205981	6358	HCC1395-ECHO	HCC1395	69915	>	20.0				1.2	0.3		0.814	0.851	1.037	1.099	0.987	0.954	1.062	1.277
GNF-00-0325-0295-7	SID7205981	6358	HCC1395-ECHO	HCC1395	69915	>	20.0				1.023	0.3		0.901	1.045	1.031	0.957	1.048	1.161	1.192	1.023
GNF-00-0325-0295-7	SID7205981	6358	HCC1395-ECHO	HCC1395	69915	>	20.0				1.072	0.3		0.988	0.99	0.986	1.156	0.99	1.055	0.938	1.072
GNF-00-0325-0295-7	SID7205981	6232	HCC-366-ECHO	HCC-366	69871	>	20.0				1.129	0.3		0.99	1.104	1.219	1.259	1.104	0.96	1.358	1.129
GNF-00-0325-0295-7	SID7205981	6232	HCC-366-ECHO	HCC-366	69871	>	20.0		0.648		1.164	0.3	-1.084	0.792	0.911	1.271	1.292	1.135		1.104	1.052
GNF-00-0325-0295-7	SID7205981	6232	HCC-366-ECHO	HCC-366	69871	>	20.0				1.017	0.3		1.032	1.027	1.18	1.431	1.234	0.859	1.219	1.017
GNF-00-0325-0295-7	SID7205981	6409	HCC-44-ECHO	HCC-44	70572	=	10.048	2.717	0.953	Steep Curve	0.974	0.0	-3.05	0.1048	0.874	0.889	0.916	1.243	1.042	0.928	1.093
GNF-00-0325-0295-7	SID7205981	6409	HCC-44-ECHO	HCC-44	70572	=	14.871	1.354	0.973	Steep Curve	1.005	0.0	-3.322	0.2733	0.981	0.953	0.984	1.068	0.994	0.963	1.068
GNF-00-0325-0295-7	SID7205981	6409	HCC-44-ECHO	HCC-44	70572	=	13.081	4.642	0.915	Steep Curve	1.074	0.0	-3.33	0.1894	1.118	1.09	1.003	1.217	1.13	0.972	0.95
GNF-00-0325-0295-7	SID7205981	6392	HCC70-ECHO	HCC70	71081	>	20.0				0.976	0.3		1.093	1.047	0.919	0.941	0.981	0.731	1.226	0.976
GNF-00-0325-0295-7	SID7205981	6392	HCC70-ECHO	HCC70	71081	>	20.0				0.957	0.3		0.975	1.048	1.099	1.092	0.975	1.019	1.063	0.957
GNF-00-0325-0295-7	SID7205981	6392	HCC70-ECHO	HCC70	71081	>	20.0				1.2	0.3		1.109	1.082	1.101	0.78	1.043	0.86	1.086	1.312
GNF-00-0325-0295-7	SID7205981	6330	HCC-78-ECHO	HCC-78	69958	>	20.0				0.934	0.3		0.872	0.897	0.852	1.053	0.906	1.09	1.017	0.934
GNF-00-0325-0295-7	SID7205981	6330	HCC-78-ECHO	HCC-78	69958	>	20.0				0.935	0.3		0.71	1.07	1.054	1.019	0.775	1.094	0.919	0.935
GNF-00-0325-0295-7	SID7205981	6330	HCC-78-ECHO	HCC-78	69958	>	20.0				0.8	0.3		0.954	0.983	1.077	0.76	0.979	1.071	0.901	0.738
GNF-00-0325-0295-7	SID7205981	6410	HCT-15-ECHO	HCT-15	70573	>	20.0				0.892	0.3		0.572	0.981	1.114	0.838	0.747	1.224	0.919	0.892
GNF-00-0325-0295-7	SID7205981	6410	HCT-15-ECHO	HCT-15	70573	=	6.817	3.977	0.868	Low Confidence	1.131	0.272	-3.33	0.2953	0.901	1.35	0.746	1.164	1.154	1.01	0.976
