CCLE name	Cell line primary name	Cell line aliases	Gender	Site Primary	Histology	Hist Subtype1	Notes	Source	Expression arrays	SNP arrays	Oncomap	Hybrid Capture Sequencing
8MGBA_CENTRAL_NERVOUS_SYSTEM	8-MG-BA		F	central_nervous_system	glioma	astrocytoma_Grade_IV		DSMZ	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_E02_296088	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E11_293396	yes	yes
A101D_SKIN	A101D		M	skin	malignant_melanoma	NS	Isolated from the same donor tissue as Hs 294T	ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_F07_454690	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F07_464698	yes	yes
A1207_CENTRAL_NERVOUS_SYSTEM	A1207			central_nervous_system	glioma	NS		Academic Lab / Achilles	RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_C05_767940			
A172_CENTRAL_NERVOUS_SYSTEM	A172		M	central_nervous_system	glioma	astrocytoma_Grade_IV		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H02_241020	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A01_437348	yes	yes
A204_SOFT_TISSUE	A-204		F	soft_tissue	rhabdoid_tumour	NS		ATCC	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_G04_241192	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A03_293284	yes	yes
A2058_SKIN	A2058		M	skin	malignant_melanoma	NS		ATCC	GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_C11_779802	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_H12_246800	yes	yes
A253_SALIVARY_GLAND	A-253		M	salivary_gland	carcinoma	mucoepidermoid_carcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_H09_569448	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G01_246754	yes	yes
A2780_OVARY	A2780		F	ovary	carcinoma	adenocarcinoma		ECACC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C02_240900	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A01_256002	yes	yes
A375_SKIN	A-375		F	skin	malignant_melanoma	NS		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_B01_257622	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G08_293438	yes	yes
A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A3/KAW		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma		HSRRB	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_F06_419792	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G12_410936	yes	yes
A498_KIDNEY	A-498		F	kidney	carcinoma	renal_cell_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_A11_383760	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E01_335284	yes	yes
A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	A4/Fuk		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma		HSRRB	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_E09_419778	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_H10_410926	yes	yes
A549_LUNG	A549		M	lung	carcinoma	non_small_cell_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H01_241018	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B06_256036	yes	yes
A673_BONE	A-673		F	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B01_383784	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D12_335282	yes	yes
A704_KIDNEY	A-704		M	kidney	carcinoma	renal_cell_carcinoma		ATCC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_D04_569578	SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_A05_592962	yes	yes
ABC1_LUNG	ABC-1		M	lung	carcinoma	non_small_cell_carcinoma		HSRRB	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_D12_296084	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B08_335226	yes	yes
ACCMESO1_PLEURA	ACC-MESO-1			pleura	mesothelioma	NS		RIKEN	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_C01_698828	QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_G01_592656	yes	yes
ACCS_URINARY_TRACT	ACCS			urinary_tract	carcinoma	transitional_cell_carcinoma	Identical lines: T24 and ACCS share high SNP identity and are likely to be T24					yes
ACHN_KIDNEY	ACHN		M	kidney	carcinoma	renal_cell_carcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_E08_296100	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B04_293310	yes	yes
AGS_STOMACH	AGS		F	stomach	carcinoma	adenocarcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_E04_296092	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_E03_293380	yes	yes
ALEXANDERCELLS_LIVER	Alexander cells		M	liver	carcinoma	hepatocellular_carcinoma	Identical lines: Alexander cells and PLC/PRF/5 share high SNP identity	HSRRB	GILDS_p_NCLE_RNA11_Redo_HG-U133_Plus_2_E08_587704	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A04_437346	yes	yes
ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ALL-SIL		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia		DSMZ	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_C02_523526	EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_C09_780208	yes	yes
AM38_CENTRAL_NERVOUS_SYSTEM	AM-38		M	central_nervous_system	glioma	astrocytoma_Grade_IV		HSRRB	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_F12_419810	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_C08_437504	yes	yes
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AML-193		F	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	acute_myeloid_leukaemia		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_A10_436614	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C09_464562	yes	yes
AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	AMO-1		F	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	plasma_cell_myeloma		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_H11_474690	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E08_490384	yes	yes
AN3CA_ENDOMETRIUM	AN3 CA		F	endometrium	carcinoma	adenocarcinoma		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D11_257690	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_G07_578294	yes	yes
ASPC1_PANCREAS	AsPC-1		F	pancreas	carcinoma	ductal_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E02_240948	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G07_246766	yes	yes
AU565_BREAST	AU565		F	breast	carcinoma	NS	Metastatic pair: SK-BR-3 and AU565 are from the same patient	ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B02_383772	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C05_335244	yes	yes
AZ521_STOMACH	AZ-521			stomach	carcinoma	NS	Identical lines: HuTu 80 and AZ-521 share high SNP identity and are likely to be HuTu 80	HSRRB	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_A09_698856	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B02_256028	yes	
BC3C_URINARY_TRACT	BC-3C		F	urinary_tract	carcinoma	transitional_cell_carcinoma		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_F07_474594	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C08_490450	yes	
BCP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BCP-1		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	B_cell_lymphoma_unspecified		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_A12_383780	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F10_437220	yes	yes
BCPAP_THYROID	B-CPAP		F	thyroid	carcinoma	papillary_carcinoma		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_G05_474666	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G05_490434	yes	yes
BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BDCM		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	acute_lymphoblastic_B_cell_leukaemia		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_H04_296164	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E04_335290	yes	yes
BECKER_CENTRAL_NERVOUS_SYSTEM	Becker		M	central_nervous_system	glioma	astrocytoma_Grade_IV		HSRRB	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_G05_436498	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D02_437524	yes	yes
BEN_LUNG	BEN		M	lung	carcinoma	NS		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_C02_474694	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E06_490352	yes	yes
BFTC905_URINARY_TRACT	BFTC-905		F	urinary_tract	carcinoma	transitional_cell_carcinoma		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_C07_474578	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_F03_490490	yes	yes
BFTC909_KIDNEY	BFTC-909		M	kidney	carcinoma	NS		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_C08_474696	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_D01_490476	yes	yes
BHT101_THYROID	BHT-101		F	thyroid	carcinoma	anaplastic_carcinoma		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_E12_474674	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E07_490332	yes	
BHY_UPPER_AERODIGESTIVE_TRACT	BHY		M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma		DSMZ	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_A08_698824	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C02_490356	yes	yes
BICR16_UPPER_AERODIGESTIVE_TRACT	BICR 16		M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma		ECACC	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_A03_698898	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E12_542820	yes	yes
BICR18_UPPER_AERODIGESTIVE_TRACT	BICR 18		M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma		ECACC	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_D05_698858	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_B03_698684	yes	yes
BICR22_UPPER_AERODIGESTIVE_TRACT	BICR 22		M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma		ECACC	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_C12_698888	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_C03_542962	yes	
BICR31_UPPER_AERODIGESTIVE_TRACT	BICR 31		M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma		ECACC	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_B03_569512	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E07_542878	yes	yes
BICR56_UPPER_AERODIGESTIVE_TRACT	BICR 56		F	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma		ECACC	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_A02_698820	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C09_578334	yes	yes
BICR6_UPPER_AERODIGESTIVE_TRACT	BICR 6		M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma		ECACC	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_A07_698844	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_C01_578456	yes	yes
BJHTERT_SKIN	BJ hTERT			skin	other	immortalized_fibroblast		Academic Lab / Achilles	RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_A07_767842	EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_H01_780332		
BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-41		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma		DSMZ	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_C02_698770	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_F04_464688	yes	yes
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BL-70		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma		DSMZ	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_E11_454676	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_H07_464644	yes	yes
BT20_BREAST	BT-20		F	breast	carcinoma	ductal_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_C02_383640	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F06_335318	yes	yes
BT474_BREAST	BT-474		F	breast	carcinoma	ductal_carcinoma		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_E07_296098	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B12_293326	yes	yes
BT483_BREAST	BT-483		F	breast	carcinoma	ductal_carcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A08_474686	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_B06_464594	yes	yes
BT549_BREAST	BT-549		F	breast	carcinoma	ductal_carcinoma		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A09_257614	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B08_256040	yes	yes
BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	BV-173		M	haematopoietic_and_lymphoid_tissue	haematopoietic_neoplasm	blast_phase_chronic_myeloid_leukaemia		DSMZ	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_F08_523462	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_D04_578460	yes	yes
BXPC3_PANCREAS	BxPC-3		F	pancreas	carcinoma	ductal_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_H08_383778	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G02_246756	yes	yes
C2BBE1_LARGE_INTESTINE	C2BBe1		M	large_intestine	carcinoma	adenocarcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_H03_383618	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_C02_437322	yes	yes
C32_SKIN	C32		M	skin	malignant_melanoma	NS		ATCC	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_F07_296122	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B03_256030	yes	yes
C3A_LIVER	C3A		M	liver	carcinoma	hepatocellular_carcinoma	Identical lines: Hep G2 and C3A share high SNP identity	ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_E07_436554	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E10_335302	yes	yes
CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CA46		M	haematopoietic_and_lymphoid_tissue	lymphoid_neoplasm	Burkitt_lymphoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_A10_383756	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D06_335270	yes	yes
CADOES1_BONE	CADO-ES1		F	bone	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	NS		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_D08_474656	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E12_490484	yes	yes
CAKI1_KIDNEY	Caki-1		M	kidney	carcinoma	clear_cell_renal_cell_carcinoma		ATCC	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_E01_436550	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D12_437234	yes	yes
CAKI2_KIDNEY	Caki-2		M	kidney	carcinoma	clear_cell_renal_cell_carcinoma		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_C04_257652	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G04_246760	yes	yes
CAL120_BREAST	CAL-120		F	breast	carcinoma	NS		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_H01_474610	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G06_490466	yes	yes
CAL12T_LUNG	CAL-12T		M	lung	carcinoma	non_small_cell_carcinoma		DSMZ	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_F04_419796	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_A08_335202	yes	yes
CAL148_BREAST	CAL-148		F	breast	carcinoma	ductal_carcinoma		DSMZ	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_D02_523558	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_E11_698682	yes	yes
CAL27_UPPER_AERODIGESTIVE_TRACT	CAL 27		M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_D01_383612	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F05_335316	yes	yes
CAL29_URINARY_TRACT	CAL-29		F	urinary_tract	carcinoma	transitional_cell_carcinoma		DSMZ	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_H11_523578	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E11_490468	yes	yes
CAL33_UPPER_AERODIGESTIVE_TRACT	CAL-33		M	upper_aerodigestive_tract	carcinoma	squamous_cell_carcinoma		DSMZ	GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_B05_779738	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A09_542966	yes	yes
CAL51_BREAST	CAL-51		F	breast	carcinoma	NS		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_F02_474714	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_C10_490500	yes	yes
CAL54_KIDNEY	CAL-54		M	kidney	carcinoma	renal_cell_carcinoma		DSMZ	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_F07_523500	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F09_578406	yes	yes
CAL62_THYROID	CAL-62		F	thyroid	carcinoma	anaplastic_carcinoma		DSMZ	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_E01_474604	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_H01_490514	yes	yes
CAL78_BONE	CAL-78		M	bone	chondrosarcoma	dedifferentiated		DSMZ	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_H04_523550	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G02_490488	yes	yes
CAL851_BREAST	CAL-85-1		F	breast	carcinoma	NS		DSMZ	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A11_257618	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B04_256032	yes	yes
CALU1_LUNG	Calu-1		M	lung	carcinoma	squamous_cell_carcinoma		ATCC	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_D07_257682	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_F10_256140	yes	yes
CALU3_LUNG	Calu-3		M	lung	carcinoma	adenocarcinoma		ATCC	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_A02_474612	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F12_437216	yes	yes
CALU6_LUNG	Calu-6		F	lung	carcinoma	undifferentiated_carcinoma		ATCC	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E04_241144	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_G10_293442	yes	yes
CAMA1_BREAST	CAMA-1		F	breast	carcinoma	NS		ATCC	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_F09_419786	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_A08_437580	yes	yes
CAOV3_OVARY	Caov-3		F	ovary	carcinoma	adenocarcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_A08_240864	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_A10_256020	yes	yes
CAOV4_OVARY	Caov-4		F	ovary	carcinoma	adenocarcinoma		ATCC	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_B02_419878	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B06_437306	yes	yes
CAPAN1_PANCREAS	Capan-1		M	pancreas	carcinoma	ductal_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B04_383742	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D10_335278	yes	yes
CAPAN2_PANCREAS	Capan-2		M	pancreas	carcinoma	ductal_carcinoma		ATCC	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_B09_240890	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_C04_256056	yes	yes
CAS1_CENTRAL_NERVOUS_SYSTEM	CAS-1		M	central_nervous_system	glioma	astrocytoma_Grade_IV		ICLC	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_H09_419838	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_E02_411008	yes	yes
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	CCF-STTG1		F	central_nervous_system	glioma	astrocytoma		ATCC	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_A06_454776	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D03_437286	yes	yes
CCK81_LARGE_INTESTINE	CCK-81			large_intestine	carcinoma	adenocarcinoma		HSRRB	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_C04_241096	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_D11_256094	yes	yes
CFPAC1_PANCREAS	CFPAC-1		M	pancreas	carcinoma	ductal_carcinoma		ATCC	CASED_p_NCLE_RNA4_HG-U133_Plus_2_B07_383738	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_C02_335238	yes	yes
CGTHW1_THYROID	CGTH-W-1		F	thyroid	carcinoma	follicular_carcinoma	Identical lines: SW579 and CGTH-W-1 share high SNP identity. CGTH-W-1 really is SW579.	DSMZ	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_B01_698818	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_C10_698660	yes	yes
