GNF_REG_ID	compound name	other name	DESCRIPTION	5637	22Rv1 	786-O 	A-204 	A-253 	A2780 	A3/KAW 	A-375 	A4/Fuk 	A-498 	A549 	ABC-1 	AGS 	Alexander cells 	AN3-CA 	BGC-823 	BT-20 	BT-474 	C32 	CAL-12T 	CAL27 	Calu-1 	CHL-1 	CMK-86 	COLO-818 	COR-L105 	COR-L23 	DAN-G 	DB 	DBTRG-05MG 	DMS 79-CTG 	DOV13 	DU145 	EFE-184 	EFM-19 	EFO-27 	EN 	ESS-1 	EVSA-T 	FaDu 	G-401 	G-402 	GOS-3 	HCC1395 	HCC-366 	HCC-44 	HCC70 	HCC-78 	HCT-15 	HEC-1-A 	HEC-251 	HEC-265 	Hey-A8 	HLF 	Hs578T 	Hs766T 	Hs944.T 	HSC-2 	HT-1197 	HT-29 	HuH-1 	HuH-7 	HUP-T3 	HUP-T4 	HuTu 80 	IGR-39 	IGROV1 	IM95 	IMR-32 	J82 	JHH-1 	JHH-4 	JHOS-2 	JHUEM-1 	JHUEM-2 	KALS-1 	KATO III 	KG-1 	KM12 	KMBC-2 	KMRC-20 	KMS-11 	KMS-26 	KMS-27 	KMS-28BM 	KMS-34 	KNS-62 	KNS-81 	KP-1N 	KP-2 	KP-3 	KS-1 	KYSE-150 	KYSE-30 	KYSE-510 	L3.3 	LK-2 	LN-18 	LN-229 	LOU-NH91 	LoVo 	LS180 	M059K 	Malme3M 	MDA-MB-453 	MIA-PaCa-2 	MKN7 	MKN74 	MM1-S 	MOG-G-CCM 	MOLM-13 	MOLT-4 	MSTO-211H 	MV4-11 	NCI-H1299 	NCI-H1395 	NCI-H146-CTG 	NCI-H1563 	NCI-H1573 	NCI-H1650 	NCI-H1651 	NCI-H1793 	NCI-H1975 	NCI-H2052 	NCI-H2066 	NCI-H209-CTG 	NCI-H211 	NCI-H2122 	NCI-H2170 	NCI-H23 	NCI-H2347 	NCI-H2444 	NCI-H2452 	NCI-H441 	NCI-H446 	NCI-H522 	NCI-H524-CTG 	NCI-H661 	NCI-H810 	NCI-H838 	NCI-N87 	NIH:OVCAR-3 	NMC-G1 	NUGC-3 	NUGC-4 	ONS-76 	OV56 	OVCAR-8 	OVISE 	OVKATE 	OVSAHO 	OVTOKO 	Panc10.05 	PA-TU-8902 	PA-TU-8988T 	PC-3 	RERF-LC-Ad1 	RERF-LC-Ad2 	RERF-LC-MS 	RKO 	RMG-I 	RPMI-7951 	RT-112 	SBC-5 	SCaBER 	SCC-9 	SEM 	SJRH30 	SJSA-1 	SK-BR-3 	SK-CO-1 	SK-HEP-1 	SK-MEL-2 	SK-MEL-28 	SK-MEL-31 	SK-MEL-5 	SK-MES-1 	SK-N-BE 	SNB-19 	SNU-398 	SNU-423 	SW1088 	SW403 	SW48 	SW480 	SW579 	SW948 	T24 	T3M-4 	T-47D 	TCC-PAN2 	TE-11 	TE-9 	THP-1 	Toledo 	TOV-112D 	U-87MG 	U-937 	UACC-257 	VMRC-RCW 	WM-266-4 	YH13 	ZR-75-1 
GNF-00-0527-1636-6	Irinotecan	Camptosar 	[Irinotecan(in Wikipedia),CP0][CAS:100286-90-6,111348-33-5][MOA:Antineoplastic Agents Phytogenic; Enzyme Inhibitors][Indication:For the treatment of metastatic colorectal cancer (first-line therapy when administered with 5-fluorouracil and leuco ...]	0.034	0.062	0.089	0.039	0.087	0.088	0.038	0.066	0.067	0.072	0.317	0.092	0.015	0.113	0.016	0.29	0.394	4.63	0.084	0.35	0.1	0.064	0.032	0.124	0.069	0.185	0.016	<0.001221	0.031	0.029	0.332	0.033	0.089	0.095	0.037	0.162	0.099	0.02	0.033	0.071	0.086	0.062	0.119	0.123	0.115	0.085	>20	0.027	0.102	<0.001221	0.057	0.188	0.063	0.005	0.063	0.153	0.061	<0.001221	0.451	0.219	0.16	0.078	0.135	0.017	0.046	NoFit	0.034	<0.001221	0.046	0.066	0.073	<0.001221	0.163	0.019	<0.001221	0.012	0.11	0.082	0.061	0.193	0.126	NoFit	0.119	0.066	0.116	0.066	0.052	0.078	0.784	0.375	0.223	0.054	0.084	0.018	0.142	0.058	0.05	0.266	0.15	NoFit	0.55	0.086	0.153	0.2	0.048	0.123	0.237	0.157	NoFit	0.214	0.035	0.034	0.064	0.078	<0.001221	NoFit	0.255	0.35	<0.001221	0.267	<0.001797	0.646	0.241	0.162	<0.001221	0.01	0.065	0.028	0.201	0.281	1.604	0.068	0.081	0.055	0.037	0.095	0.907	0.08	0.038	0.105	0.101	0.008	0.137	0.053		0.029	0.315	0.043	0.114		<0.001221	0.05	0.102	0.067	0.478	0.073	0.028	0.185	0.322	0.066	<0.001221	0.489	0.072	0.114	0.403	0.028	0.074	0.032	0.093	0.038	0.074	0.044	0.308	0.184	0.585	0.043	0.208	0.054	0.114	0.044	1.553	0.05	NoFit	0.161	<0.001221	0.09	3.34	0.035		0.024	0.076	0.041	0.156	0.176	0.046	0.119	0.131	0.134	0.054	0.048	0.035	0.085	0.048
GNF-00-0527-1637-7	Topotecan	Hycamtin	[Topotecan(in Wikipedia),Sn-38(in Wikipedia)][CAS:119413-54-6,123948-87-8][MOA:Antineoplastic Agents; Enzyme Inhibitors; Antineoplastic Agents Phytogenic][Warning:Discontinued on 1993/09/15!1992/12/15!1992/02/15!1991/11/15!1991/11/15!1990/09/15; ...]	0.024	0.01	0.008	0.005	0.023	0.03	0.005	0.013	0.041	0.014	0.069	0.016	0.011	0.038	0.002	0.212	NoFit	0.091	0.021	0.053	0.098	0.014	0.002	0.034	0.016	0.039	0.013	0.004	0.007	0.007	0.124	0.001	0.024	0.009	0.002	0.046	0.022	0.003	0.002	0.01	0.022	0.011	0.04	0.078	0.016	0.018	>20	0.005	0.014	<0.001221	0.023	0.056	0.009	0.006	0.517	0.013	0.025	<0.001221	0.174	0.037	0.038	0.012	0.055	0.019	0.015	0.007	0.004	<0.001221	0.008	0.038	0.042	<0.001221	0.009	0.004	<0.001221	0.002	0.011	0.02	0.012	0.051	0.003	0.119	0.035	0.012	0.024	0.01	0.029	0.01	0.078	0.035	0.039	0.009	0.107	<0.00488	0.045	0.011	0.017	0.045	0.069	0.053	0.144	0.046	0.054	0.026	0.01	0.031	0.106	0.038	0.033	0.047	0.006	0.006	0.017	0.019	<0.001221	NoFit	0.039	0.105	NoFit	0.06	<0.001221	0.163	0.025	0.033	<0.001221	<0.001221	NoFit	0.008	0.054	0.249	0.03	0.028	0.04	0.007	0.001	0.016	0.572	0.022	0.004	0.031	0.012	<0.001221	0.015	0.01	0.038	0.007	>20	0.012	0.041		<0.001221	0.008	0.019	0.026	0.077	0.017	0.005	0.038	0.283	0.039	0.002	0.288	0.012	0.011	0.153	<0.001842	0.023	0.009	0.019	0.007	0.009	0.011	0.057	0.062	>16.98	0.029	0.032	0.02	0.028	0.008	0.641	0.011	>20	0.047	<0.001221	0.02	0.211	0.006	0.036	<0.001221	0.113	0.011	0.039	0.061	0.005	0.038	0.045	0.059	0.025	0.019	0.022	0.018	<0.001221
GNF-00-0527-1831-7	Cisplastin		[Indication:Cisplatin is a cytotoxic whose main mode of action is formation of adducts with both nuclear and mitochondrial DNA. This involves the formation of intrastrand DNA cross-links between guanosine residues. Cisplatin is usually cell cycl ...]	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>10	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20
GNF-00-0558-2575-7	AEW541		[Adw-742][MOA:Apoptosis-inducer; Cytostatic; Insulin-like-growth-factor-1-antagonist][Indication:Insulin like growth factor receptor type I antagonist highest phase:Phase 1 - Cancer; Discovery - Multiple myeloma][Target:Igf1r, Insulin-like growt ...]	>20	8.33	12.61	10.02	16.25	>20	13.31	0.698	0.056	9.63	5.51	1.214	11.08	>20	14.07	6.58	>20	12.95	12.88	3.57	12.64	12.9	6.24	6.53	18.93	>20	12.47	9.91	14.99	14.55	11.76	6.38	13.65	13.36	>20	>20	>20	16.99	9.37	16.65	0.746	8.89	>20	>20		4.84	>20	>20	5.21	10.27	>20	14.36	11.48	10.92	9.2	18.29	13.97	NoFit	8.1	4.37	0.901	3.34	>5	4.91	9.29	10.84	5.37	9.93	7.66	11.06	15.28	13.45	>20	12.72	>20	9.74	18.72	7.98	9.76	14.85	>20	>5	0.32	>20	0.454	0.129	19.34	19.51	10.77	>20	10.34	6.36	8.47	9.61	11.29	>19.44	9.93	8.6	9.39	>20	>20	>20	17.49	12.48	>20	4.3	>20	16.72	0.14	>20	1.04	8.44	6.46	0.592	10.68	>20	10.16	>20	>20	18.27	>20	>20	>20	17.37	6.32	10.67	9.07	>20	>20	>20	>20	>20	>20	>20	12.91	>20	9.52	4.54	7.74	5.21	17.34	11.9	13.55	>19.34	>20	11.61	>20	>20	11.32	>20	>20	8.3	9.65	0.435	6.5	14.48	>20	>20	1.644	11.45	12.07	9.53	0.294	13.99	9.55	17.84	2.915	0.152	14.25	>20	1.345	7.41	13.45	>20	>15.05	7.65	7.39	>8.06	19.25	17.28	12.49	17.01	>20	>20	16.29	5.04	>20	>20	>20	>20	0.285	8.36	10.46	7.43	10.46	8.51	>20	12.2	9.12	11.74	13.09	13.69	>20
GNF-00-0558-2578-0	TAE684		[Nvp-tae-684][Novarits CSP/sPoC:GNF sPOC regarding ALK Inhibitor part 2 (268) approved on 2004-08-11; GNF CSP regarding ALK Inhibitor part 2 (268) approved on 2004-03-11][MOA:Alk-tyrosine-kinase-receptor-inhibitor; Apoptosis-inducer; Cytosta ...]	4.69	3.29	6.89	1.625	4.1	4.19	1.622	0.581	0.026	1.722	1.113	0.28	0.277	14.35	2.524	0.344	2.402	10.25	17.43	0.097	1.698	6.41	0.968	0.818	18.01	1.058	2.858	0.765	4.52	6.12	>20	0.951	3.27		8.09	0.753	>20	2.244	7.84	6.19	0.76	0.983	13.07	8.92	2.572	1.411	>20	0.449	2.457	0.625	4.52	1.009	4.1	0.656	5.19	3.8	8.69	>20	0.514	0.689	0.761	0.962	1.359	0.111	0.885	NoFit	1.293	>20	1.666	3.17	3.72	1.539	4.92	0.226	>20	1.63	1.11	0.13	0.512	3.157	4.17	0.414	0.377	0.721	0.177	0.058	14.75	6.58	0.389	10.32	0.209	0.547	0.443	2.487	9.26	3.74	0.603	1.328	4.24	0.732	1.109	16.51	2.856	13.18	1.906	0.806	15.3	2.159	0.026	16.1	0.145	1.787	1.497	0.027	NoFit	>20	10.56	6.94	0.572	5.35	>20	>20	1.217	3.27	>20	3.21	3.25	8.86	11.5	4.2	>20	19.84	5.85	13.08	2.114	9.11	2.915	6.2	0.616	0.585	7.78	2.843	9.18	4.93	16.87	3.115	>20	7.31	8.56	>20	>20	2.588	12.16	0.91	1.618	1.835	12.99	11.82	0.131	2.263	0.277	1.376	0.123	3.57	1.302	6.25	0.218	0.229	4.51	11.97	0.529	3.77	9.74	>20	>20	10.09	1.766	0.475	2.224	0.433	>20	>20	>20	0.781	0.432	0.402		3.93	>20	10.17	0.574	1.475	1.234	1.308	1.525	0.748	11.31	2.412	5.69	>20	4.65	1.453	5.15
GNF-00-0558-2660-3	Panobinostat  	Faridak	[Lbh-589,Panobinostat][CAS:404950-80-7][MOA:Angiogenesis-inhibitor; Apoptosis-inducer; Cytostatic; Histone-deacetylase-inhibitor; Synergist][Indication:Histone deacetylase inhibitor; Apoptosis stimulator; Cytochrome P450 2D6 inhibitor highest ph ...]	0.015	0.004	0.012	<0.001221	0.003	0.018	<0.001221	0.002	<0.001221	0.003	<0.002073	<0.001221	0.004	0.009	0.006	0.002	0.034	NoFit	0.03	<0.001221	0.003	0.004	<0.001221	<0.001221	0.006	0.008	0.005	<0.001221	0.002	0.008	0.008	0.002	<0.001221	0.007	<0.001221	<0.001221	0.006	0.005	<0.001221	<0.001221	<0.001221	<0.001221	0.011	0.016	0.002	0.002	>1.39	0.012	0.013	<0.001221	0.005	NoFit	0.003	<0.001221	<0.001221	<0.001221	0.002	<0.001221	0.017	0.013	0.002	0.008	0.01	0.002	<0.001221	<0.001221	0.001	<0.001221	0.004	<0.001221	<0.001221	<0.001221	0.002	0.014	<0.001221	<0.001221	0.012	<0.001221	0.008	0.012	0.016	0.002	<0.001221	<0.001221	<0.001221	<0.001221	0.007	0.009	0.008	0.086	0.008	<0.001221	0.011	0.002	0.01	0.012	<0.001221	0.002	<0.001221	0.027	0.01	0.04	<0.001221	<0.001233	<0.001221	0.002	0.039	0.01	NoFit	0.015	<0.001221	<0.001221	0.002	<0.001221	<0.001221	0.021	0.001	0.016	<0.001221	0.007	<0.001221		0.003	0.01	<0.001221	<0.001221	>20	0.046	0.017	0.009	>20	NoFit	0.016	0.029	0.002	0.005	0.003	0.005	0.004	0.001	0.007	0.004	<0.001221	0.005	0.009	0.002	1.719	<0.001221	0.004	0.027	0.001	<0.001221	0.018	0.025	0.007	<0.001221	0.013	0.003	<0.001221	0.001	<0.001221	<0.001221	0.006	0.004	<0.001221	<0.001221	<0.001221	<0.001221	0.003	0.005	0.008	0.002	0.002	0.004	>20	0.005	0.003	0.014	0.003	0.004	0.016	<0.001221	>20	0.009	<0.001221	<0.001221	0.007	0.005	>20	0.005	0.004	0.007	0.003	<0.001221	<0.001221	0.002	0.006	0.002	0.008	0.03	<0.001221	<0.001641	0.002
GNF-00-0558-2696-5	Erlotinib	Tarceva	[Erlotinib(in Wikipedia),Tarceva][CAS:183321-74-6,183319-69-9][MOA:Protein Kinase Inhibitors][Indication:For the treatment of patients with locally advanced or metastatic non-small cell lung cancer after failure of at least one prior chemotherap ...]	7.14	>20	17.54	15.22	0.036	>20	12.01	11.0	>20	>10.32	13.35	4.24	3.25	5.51	4.82	11.14	17.11	17.8	>20	5.65	0.469	1.525	2.402	7.47	17.37	0.086	11.12	8.9	4.55	9.98	>20	15.18	NoFit	>10	>20		>20	>20	4.71	>5	16.07	>20	2.467	>20	19.89	>20	>20	>20	2.937	8.43	>20	>20	>5	3.038	7.79	>10	2.667	0.876	12.51	>20	14.03	17.97	>20	0.766	13.26	9.17	0.006	7.41	>20	8.32	0.285	6.09	>20	8.8	3.2	1.342	>20	6.13	>20	>20	>20	>20	>20	>20	>5	>20	10.44	>20	>20	>20	1.249	12.13	0.58	0.268	8.87	7.13	1.053	4.77	1.031		10.56		2.944	>20	0.997	>20	13.06	19.2	>20	8.95	1.688	9.16	0.339	5.69	4.23	>20	2.46	>20	11.95	12.83	12.7	>20	0.981	19.39	12.59	>20	NoFit	4.22	2.011	>20	>20	3.63	>20	>20	10.74	>20	3.86	0.111	>20	17.74	8.05	1.322	8.55	0.181	>20	5.63	6.97	4.72	18.31	1.363	12.5	>5	>5	>20	9.92	>20	>20	2.899	4.9	>20	0.023	1.713	11.23	>20	0.059		6.52	0.662	NoFit	>20	4.43	2.149	18.81	5.34	5.49	16.68	0.162	>20	>20		8.67	7.1	0.124	1.084	3.94	5.68	>20	>1.975	>5	17.12	>20	0.377	11.75	1.609	11.79	1.514	>20	4.79	>20	1.176	1.414	>20	>20
GNF-00-0558-2805-2	PD-0332991		[Pd-0332991,6-acetyl-8-cyclopentyl-5-methyl-2-(5-piperazin-1-ylpyridin-2-ylamino)-8H-pyrido(2,3-d)pyrimidin-7-one][MOA:Cyclin-dependent-kinase-4-inhibitor; Cyclin-dependent-kinase-6-inhibitor; Cyclin-dependent-kinase-inhibitor; Cytostatic][Indic ...]	>20	1.962	0.753	0.093	2.425	>20	19.4	1.441	4.34	0.429	19.72	1.155	0.677	NoFit	>20	>20	>19.12	>20	>20	0.326	1.385	1.266	NoFit	1.593	>20	0.154	12.67	>20	0.414	1.893	>20	>20	>20	>20	3.41	0.513	>20	>20	>20	2.195	0.667		9.95	>20		>20	>20	3.68	>20	>20	>20	>20	1.516	>20	>20	0.696	7.59	NoFit	>20	3.31	0.168	0.607	0.795	2.957	2.302	NoFit		>20	1.579	>20	>20	6.98	>20	>20	>20	NoFit	14.41	5.18	7.56	>20	>20	>20	1.81	1.19	>20	1.489	5.16	0.416	4.64	>20	0.686	0.938	1.79	2.775	4.34	9.14	>20	1.657	0.465	>20	>20	17.54	>20	>20	15.45	3.52	>20		NoFit	>20	1.347	2.276	0.706	0.3	1.279	>20	>20	12.49	>20	18.17	>20	>20	>20	4.33	>20	>20	NoFit	2.46	5.92	>20	>20	>20	NoFit	5.3	>20	>20	>20	0.581	>20	0.636	>20	>20	4.52	2.31	>20	2.456	>20	>20	>20	>20	>20	1.269	3.6	5.44	2.609	1.107	>20	4.78	0.928	15.66	13.61	0.567	0.715	10.93	0.783	NoFit	1.842	>20	4.2	>20	>20	1.543	>20	>20	>20	>20	0.819	0.425	0.203	>5.56	19.33	8.84	>20	>20		0.737	>20	0.954	>20	2.795	0.763	2.827	0.781	1.491	0.581	1.967	11.03	4.4	0.743	>20	0.579		0.637
GNF-00-0558-2806-3	Lapatinib	Tykerb	[Lapatinib(in Wikipedia),Tycerb][CAS:388082-78-8,231277-92-2][MOA:Antineoplastic Agents; Protein Kinase Inhibitors][Indication:Indicated in combination with capecitabine for the treatment of patients with advanced or metastatic breast cancer who ...]	>20	>20	8.07	>20	0.357	>20	16.16	13.43	18.43	>20	>20	>20	NoFit	15.55	>20	>20	>13.77	1.323	>20	7.08	0.173	>20	0.028	13.86	>20	2.244	>20	11.9	>20	>20	>20	2.373	>20	>20	>20	0.023	>20	16.44	>20	2.424	16.42	11.39	>20	>20	>20	>20	>20	>20	12.68	>20	>20	7.39	>20	9.66	>20	>20	>20	NoFit	>20	>19.93	>20	>20	>20	13.35	>20	>20	NoFit	>5	>20	>20	>20	>20	>20	>20	>20		>20	>20	17.92	>20	>20	9.68	17.42	18.59	>20	7.35	>20	>20	16.21	>20	>20	>20	0.273	18.44	>20	3.06	10.55	7.62	>20	>20	>20	17.65	>20	>20	>20	>20	>20	>17.71	13.12	>20	10.22	15.3	7.95	17.87	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	NoFit	>20	>20	>20	>20	>20	13.86	>20	>14.36	>20	>20	>20	0.016	>20	>20	1.118	9.68	8.0	>20	11.83	>20	>20	>20	NoFit	>20	>20	>20	>20	>20	>20	>20	8.9	0.053	>20	8.35	>20	0.136	10.18	14.72	18.88	4.43	0.003	>20	>20	>20	>20	>20	>20	1.687	>20	>20	18.6	19.82	>20	>20	>20	>20	11.98	>20	17.93	>20	>20	>20	4.71	18.02	>20	>20	11.68	>20	13.43	10.83	>20	>20	>20	>20
GNF-00-0558-2811-0	LBW242		[lbw-242][MOA:Cytostatic; Smac-protein-stimulator][Target:BIR3 domain of X-linked IAP, X-linked IAP][GNF Document:CB1\Chen_Julian-Pyridones as Novel IAP Antagonists.pdf][Patent:Organic compounds(2005); Process for preparing dipeptide amides(2006 ...]	>20	>20	>20	>20	>20	>20	>20	11.28	>20	>20	>20	>20	4.32	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	16.02	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	0.029	>20	>20	0.025	0.021	>20	16.79	>20	>20	>20	>13.18	1.814	>20	>20	>20	>20	>20	>20	>20	NoFit	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	16.06	>20	>20	>20	>20	>20	19.47	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	8.67	>20	>20	>20	>20	>20	13.67	>20	>20	>20	>20	>20	>20	19.72	>20	>20	>20	>10	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	14.46	>20	>20	>20	>20	>20	>20	>20	>20	15.98	>20	>20	>20	>20	>20	>20	>20	1.739	>20	>20	>20	>20	>20	>20	>20	>20	>20	5.31	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	16.33	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20	>20
GNF-00-0558-2817-6	RAF265		[chir-265][MOA:Angiogenesis-inhibitor; Cytostatic][Indication:VEGFR inhibitor; Raf inhibitor highest phase:Phase 1 - Skin melanoma, Cancer][Target:Raf kinase, Raf][GNF Document:B-Raf\RAF Kinase LN review-Tommasi-v2.doc, B-Raf\Raf Core Team 05090 ...]	>20	12.08	5.61	0.045	3.037	19.98	0.491	0.155	>20	0.031	1.705	10.49	8.47	>13.54	0.03	9.95	>8.45	>20	2.116	9.85	0.352	1.458	0.036	>20	0.091	8.47	>20		>20	0.016	13.03	0.596	13.62	6.62	6.04	0.019	>20	0.278	13.39	0.486	0.077	0.084	13.42	>20	>20	4.7	>20	6.44	0.053		5.26	>20	0.06		>20	NoFit	NoFit		4.65	9.47	>20	5.69	9.35	1.445	2.825				4.68	1.45	>20		>20	0.859		0.566	3.4	0.067	3.94	>20	13.12	>20	11.75	>20	6.86	15.9	3.026	0.463	5.01	>20	7.63	1.256	0.47	4.72	4.34	8.7	1.113	0.598	0.024	>20	>20	11.46	>20	0.053	6.13	3.04	>20	2.247	2.42	>20	4.91	0.377	0.045	6.86		>20	7.68	>20		1.067		>20		0.076		0.52	0.725	>20	>20	>20	>20	>20	NoFit	11.7	14.21	>20	2.475	0.017	4.4	3.131	>19.47	NoFit	0.065	0.176	>20	0.017	>20	0.184	17.51	>20		0.037	8.31	0.993	6.43	>20	>20	>20	0.032	0.462		2.701	2.878	5.02	>20	>20	NoFit	1.169	13.31	>20	5.52	0.027	3.089	>20	>20	0.246	5.5	0.331	16.92	4.43	7.75		13.34	15.57		0.095	3.114	0.648	>20	4.94	3.146	0.315	0.824	>20	1.785	6.04	>20	13.1	0.159	>20	0.015	>20	6.77
GNF-00-0558-2820-1	TKI258	Dovitinib	[CAS:405169-16-6][Indication:FLT3 inhibitor; KIT inhibitor; VEGFR antagonist; FGFR antagonist highest phase:Phase 1 - Acute myelogenous leukemia, Multiple myeloma, Solid tumor][Target:Vegfr, Fibroblast growth factor receptor 3, Protein tyrosine  ...]	>20	2.957	2.892	0.217	3.45	2.23	0.745	0.585	>20	0.697	1.376	1.084	0.892	>20	0.41	2.296	14.43	>17.42	>17.32	0.358	2.212	1.011	0.493	0.404	>20	>20	14.58	3.106	5.56	>20	8.23	0.289	0.868	>20	11.04	0.858	>20	1.334	2.244	4.59	0.136	0.2	2.365	>20	>20	5.99	>20	13.69	0.63	3.39	>20	6.34	1.888	0.179	4.69	<0.001221	1.167	>20	6.66	6.19	6.1	3.79	>20	>20	0.741	7.25	0.598	>20	1.841	0.621	>20	0.574	>20	4.98	0.859	0.411	0.192	0.035	0.014	>20	>20	NoFit	4.79	2.038	NoFit	4.51	>20	>20	4.37	>20	1.742	0.831	1.015	3.8	8.11	7.13	0.295	0.637	0.659	>20	>20	4.04	>20	9.0	5.71	5.7	>20	9.61	<0.001221	>20	<0.001221	0.786	0.459	<0.001221	8.64	>20	7.34	12.0	3.037	>20	>20	>17.78	1.822	>20	9.15	4.04	>15.29	14.31	>20	12.77	>20	>20	>20	>20	5.45	8.61	3.49	3.26	5.5	1.074	18.43	5.87	>20	7.84	4.16	1.414	>10.11	8.86	>20	>20	15.87	2.588	16.7	11.89	3.42	9.96	>20	>20	0.691	1.807	1.148	5.16	0.075	6.15	NoFit	>20	<0.001221	2.687	9.24	>20	3.33	0.594	2.676	18.17	>20	5.54	1.088	0.782	2.706	1.941	12.89	8.64	>20	4.56	5.44	0.089	>20	3.019	>20	>20	12.85	0.279	5.27	2.706	0.717	1.053	>20	4.58	6.28	19.48	1.914	>20	>20
GNF-00-0558-2834-7	Vandetanib	Zactima	[Vandetanib(in Wikipedia),N-(4-bromo-2-fluorophenyl)-6-methoxy-7-((1-methylpiperidin-4-yl)methoxy)quinazolin-4-amine][CAS:443913-73-3,338992-00-0][MOA:Angiogenesis-inhibitor; Apoptosis-inducer; Cytostatic; Egf-antagonist; Epidermal-growth-factor ...]	17.29	10.05	11.79	3.44	1.024	>20	12.76	6.86	15.35	8.54	16.46	9.26	3.55	15.92	4.02	9.64	8.58	7.92	>20	1.675	0.298	9.1	4.82	9.76	>20	1.425	>20		16.55	11.52	19.03	5.1	0.366	NoFit	7.92	0.032	>20	11.08	8.28	7.07	>20	3.23	>20	10.05	5.48	11.95	>20	>20	7.0		9.29	>20	>20		8.9	2.143	15.7		7.29	8.42	6.44	7.63	8.8	0.688	2.654		0.217		2.178	10.78	6.19		9.05	4.2		1.275	4.43	0.196	12.08	>20	13.23	9.35	7.73	19.0	>20	13.24	17.11	>20	12.33	>20	7.18	3.81	0.302	11.22	>20	7.89	4.64	5.61	3.57	NoFit	15.02	4.36	9.76	10.52	>20	9.57	>20	11.23	>20	>20	2.737	9.6	4.95	1.258		>20	8.84	10.93		2.637		>20	9.48	8.05		10.18	17.44	>20	7.11	18.19	>20	16.95	17.55	>20	17.86	>20	9.73	2.514	17.51	5.68	10.61	10.29	12.23	3.29	7.6	8.87	>20	5.07	11.88	19.2		0.665	10.18	18.56	3.19	6.61	>20	19.36	8.06	11.77		6.68	5.24	>20	0.274	3.6	7.38	8.9	0.524	>20	4.55	8.55	11.34	9.56	8.34	10.23	0.703	>20	19.34	>12	14.49		>20	>20		0.325	>20	9.53	>20	>20	14.02	1.679	7.99	14.25	14.99	5.13	>20	16.08	9.65	13.77	9.69	9.02	>20
